cited_pub_title,cited_pub_year,cited_by_count_at_scrape,citing_title,citing_container,citing_url,citing_snippet,final_class,crossref_type,lens_id,lens_publication_number,lens_publication_date,lens_jurisdiction,lens_family_id,lens_applicants,lens_owners,lens_inventors
"Beware, Your Hands Reveal Your Secrets!",2014,204,Systematic classification of side-channel attacks: A case study for mobile devices,"R Spreitzer, V Moonsamy, T Korak… - … surveys & tutorials, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8141882/,"Side-channel attacks on mobile devices have gained increasing attention since their introduction in 2007. While traditional side-channel attacks, such as power analysis attacks …",review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,A survey on sensor-based threats and attacks to smart devices and applications,"AK Sikder, G Petracca, H Aksu… - … Surveys & Tutorials, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9372295/,"Modern electronic devices have become “smart” as well as omnipresent in our day-to-day lives. From small household devices to large industrial machines, smart devices have …",review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,HMOG: New behavioral biometric features for continuous authentication of smartphone users,"Z Sitová, J Šeděnka, Q Yang, G Peng… - IEEE Transactions …, 2015 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7349202/,"We introduce hand movement, orientation, and grasp (HMOG), a set of behavioral features to continuously authenticate smartphone users. HMOG features unobtrusively capture subtle …",unknown,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Password-stealing without hacking: Wi-Fi enabled practical keystroke eavesdropping,"J Hu, H Wang, T Zheng, J Hu, Z Chen… - Proceedings of the 2023 …, 2023 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3576915.3623088,"The contact-free sensing nature of Wi-Fi has been leveraged to achieve privacy breaches, yet existing attacks relying on Wi-Fi CSI (channel state information) demand hacking Wi-Fi …",unknown,proceedings-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,When CSI meets public WiFi: Inferring your mobile phone password via WiFi signals,"M Li, Y Meng, J Liu, H Zhu, X Liang, Y Liu… - Proceedings of the 2016 …, 2016 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/2976749.2978397,"In this study, we present WindTalker, a novel and practical keystroke inference framework that allows an attacker to infer the sensitive keystrokes on a mobile device through WiFi …",unknown,proceedings-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,A survey on sensor-based threats to internet-of-things (iot) devices and applications,"AK Sikder, G Petracca, H Aksu, T Jaeger… - arXiv preprint arXiv …, 2018 - arxiv.org",https://arxiv.org/abs/1802.02041,"The concept of Internet of Things (IoT) has become more popular in the modern era of technology than ever before. From small household devices to large industrial machines, the …",book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,When good becomes evil: Keystroke inference with smartwatch,"X Liu, Z Zhou, W Diao, Z Li, K Zhang - Proceedings of the 22nd ACM …, 2015 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/2810103.2813668,"One rising trend in today's consumer electronics is the wearable devices, eg, smartwatches. With tens of millions of smartwatches shipped, however, the security implications of such …",unknown,proceedings-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Security risk measurement for information leakage in IoT-based smart homes from a situational awareness perspective,"M Park, H Oh, K Lee - Sensors, 2019 - mdpi.com",https://www.mdpi.com/1424-8220/19/9/2148,"Internet-of-Things (IoT) is a technology that is extensively being used in various fields. Companies like Samsung, LG, and Apple are launching home appliances that use IoT as a …",unknown,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,{6thSense}: A context-aware sensor-based attack detector for smart devices,"AK Sikder, H Aksu, AS Uluagac - 26th USENIX Security Symposium …, 2017 - usenix.org",https://www.usenix.org/conference/usenixsecurity17/technical-sessions/presentation/sikder,"Sensors (eg, light, gyroscope, accelerometer) and sensing enabled applications on a smart device make the applications more user-friendly and efficient. However, the current …",unknown,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Friend or foe? Your wearable devices reveal your personal pin,"C Wang, X Guo, Y Wang, Y Chen, B Liu - … of the 11th ACM on Asia …, 2016 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/2897845.2897847,"The proliferation of wearable devices, eg, smartwatches and activity trackers, with embedded sensors has already shown its great potential on monitoring and inferring human …",unknown,journal-article,,,,,,,,
