cited_pub_title,cited_pub_year,cited_by_count_at_scrape,citing_title,citing_container,citing_url,citing_snippet,final_class,crossref_type,lens_id,lens_publication_number,lens_publication_date,lens_jurisdiction,lens_family_id,lens_applicants,lens_owners,lens_inventors
"Beware, Your Hands Reveal Your Secrets!",2014,204,A survey on sensor-based threats to internet-of-things (iot) devices and applications,"AK Sikder, G Petracca, H Aksu, T Jaeger… - arXiv preprint arXiv …, 2018 - arxiv.org",https://arxiv.org/abs/1802.02041,"The concept of Internet of Things (IoT) has become more popular in the modern era of technology than ever before. From small household devices to large industrial machines, the …",book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Identifying smartphone users based on how they interact with their phones,"MA Alqarni, SH Chauhdary, MN Malik… - … -centric Computing and …, 2020 - Springer",https://link.springer.com/article/10.1186/s13673-020-0212-7,"The continuous advancement in the Internet of Things technology allows people to connect anywhere at any time, thus showing great potential in technology like smart devices …",book,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,No training hurdles: Fast training-agnostic attacks to infer your typing,"S Fang, I Markwood, Y Liu, S Zhao, Z Lu… - Proceedings of the 2018 …, 2018 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3243734.3243755,Traditional methods to eavesdrop keystrokes leverage some malware installed in a target computer to record the keystrokes for an adversary. Existing research work has identified a …,book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Towards a general video-based keystroke inference attack,"Z Yang, Y Chen, Z Sarwar, H Schwartz… - 32nd USENIX Security …, 2023 - usenix.org",https://www.usenix.org/conference/usenixsecurity23/presentation/yang-zhuolin,A large collection of research literature has identified the privacy risks of keystroke inference attacks that use statistical models to extract content typed onto a keyboard. Yet existing …,book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Authenticating users through their arm movement patterns,"R Kumar, VV Phoha, R Raina - arXiv preprint arXiv:1603.02211, 2016 - arxiv.org",https://arxiv.org/abs/1603.02211,"In this paper, we propose four continuous authentication designs by using the characteristics of arm movements while individuals walk. The first design uses acceleration of arms …",book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Skype & type: Keyboard eavesdropping in voice-over-ip,"S Cecconello, A Compagno, M Conti, D Lain… - ACM Transactions on …, 2019 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3365366,"Voice-over-IP (VoIP) software are among the most widely spread and pervasive software, counting millions of monthly users. However, we argue that people ignore the drawbacks of …",book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Trapped by the ui: The android case,"E Alepis, C Patsakis - International Symposium on Research in Attacks …, 2017 - Springer",https://link.springer.com/chapter/10.1007/978-3-319-66332-6_15,"Mobile devices are highly dependent on the design of user interfaces, since their size and computational cost introduce considerable constraints. UI and UX are interdependent since …",book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Deep learning approach for a dynamic swipe gestures based continuous authentication,"Z Naji, D Bouzidi - The International Conference on Artificial Intelligence …, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-27762-7_5,"The amount of sensitive data stored on mobile devices has increased. Current mobile device security schemas, such as pins, passwords, patterns, or even physiological …",book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Peering into the mind? The ethics of consumer neuromonitoring devices,"IC McCall, A Wexler - Developments in neuroethics and bioethics, 2020 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2589295920300114,Abstract Direct-to-consumer (DTC) neurotechnologies represent a growing market as companies vie to bring the promise of brain-based devices into consumers' homes. One …,book,book-chapter,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Adversarial attacks on deep learning systems for user identification based on motion sensors,"C Benegui, RT Ionescu - International Conference on Neural Information …, 2020 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-63823-8_85,"For the time being, mobile devices employ implicit authentication mechanisms, namely, unlock patterns, PINs or biometric-based systems such as fingerprint or face recognition …",book,book-chapter,,,,,,,,
