cited_pub_title,cited_pub_year,cited_by_count_at_scrape,citing_title,citing_container,citing_url,citing_snippet,final_class,crossref_type,lens_id,lens_publication_number,lens_publication_date,lens_jurisdiction,lens_family_id,lens_applicants,lens_owners,lens_inventors
"Beware, Your Hands Reveal Your Secrets!",2014,204,Systematic classification of side-channel attacks: A case study for mobile devices,"R Spreitzer, V Moonsamy, T Korak… - … surveys & tutorials, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8141882/,"Side-channel attacks on mobile devices have gained increasing attention since their introduction in 2007. While traditional side-channel attacks, such as power analysis attacks …",review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,A survey on sensor-based threats and attacks to smart devices and applications,"AK Sikder, G Petracca, H Aksu… - … Surveys & Tutorials, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9372295/,"Modern electronic devices have become “smart” as well as omnipresent in our day-to-day lives. From small household devices to large industrial machines, smart devices have …",review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Continuous user authentication on smartphone via behavioral biometrics: a survey,"PK Rayani, S Changder - Multimedia Tools and Applications, 2023 - Springer",https://link.springer.com/article/10.1007/s11042-022-13245-9,The use of ubiquitous devices is increasing worldwide due to signs of progress in sophisticated hardware technology with cutting-edge features. These features offer most …,review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,The rise of keyloggers on smartphones: A survey and insight into motion-based tap inference attacks,"M Hussain, A Al-Haiqi, AA Zaidan, BB Zaidan… - Pervasive and Mobile …, 2016 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1574119215002138,Smartphone sensing capabilities have opened new opportunities for innovative User Interface (UI) and context-aware applications. They have also opened new possibilities for …,review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,A survey on human profile information inference via wireless signals,"Q He, E Yang, S Fang - IEEE Communications Surveys & …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10459199/,"Due to the ubiquitous deployment of wireless infrastructures, the radio signal nature of invisibility, and the elimination of the line-of-sight requirement, it has drawn increasing …",review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,An offensive and defensive exposition of wearable computing,"P Shrestha, N Saxena - ACM Computing Surveys (CSUR), 2017 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3133837,"Wearable computing is rapidly getting deployed in many—commercial, medical, and personal—domains of day-to-day life. Wearable devices appear in various forms, shapes …",review,journal-article,,,,,,,,
"Beware, Your Hands Reveal Your Secrets!",2014,204,Emerging NUI-based methods for user authentication: A new taxonomy and survey,"N Sae-Bae, J Wu, N Memon, J Konrad… - IEEE Transactions on …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8612950/,"As the convenience and cost benefits of natural user interface (NUI) technologies are hastening their wide adoption, computing devices equipped with such interfaces are …",review,journal-article,,,,,,,,
Context-aware Active Authentication Using Smartphone Accelerometer Measurements,2014,169,Cancelable biometrics: A review,"VM Patel, NK Ratha… - IEEE signal processing …, 2015 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7192838/,Recent years have seen an exponential growth in the use of various biometric technologies for trusted automatic recognition of humans. With the rapid adaptation of biometric systems …,review,journal-article,,,,,,,,
Context-aware Active Authentication Using Smartphone Accelerometer Measurements,2014,169,Inertial sensor-based gait recognition: A review,"S Sprager, MB Juric - Sensors, 2015 - mdpi.com",https://www.mdpi.com/1424-8220/15/9/22089,"With the recent development of microelectromechanical systems (MEMS), inertial sensors have become widely used in the research of wearable gait analysis due to several factors …",review,journal-article,,,,,,,,
Context-aware Active Authentication Using Smartphone Accelerometer Measurements,2014,169,Privacy implications of accelerometer data: a review of possible inferences,"JL Kröger, P Raschke, TR Bhuiyan - Proceedings of the 3rd international …, 2019 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3309074.3309076,"Accelerometers are sensors for measuring acceleration forces. They can be found embedded in many types of mobile devices, including tablet PCs, smartphones, and …",review,proceedings-article,,,,,,,,
